,0,1
0,tares,6.261053982162735
1,lares,6.194745768353162
2,rates,6.15657795685387
3,rales,6.149010785421366
4,tales,6.119217909973409
5,nares,6.117471802843239
6,tears,6.093129353622559
7,teras,6.083207086584639
8,arles,6.080899691031821
9,cares,6.0704268415988105
10,tores,6.066075518025301
11,salet,6.06329495933473
12,saner,6.062047383270936
13,reais,6.047527743983856
14,lanes,6.041219108127795
15,dares,6.0333798464072945
16,lears,6.028912964092882
17,tires,6.027846329439152
18,reals,6.0223709086232935
19,soare,6.021490358396692
20,reans,6.011328268987476
21,aeros,6.00420052852388
22,lores,6.000494119395867
23,leats,5.993475193421764
24,teals,5.989348114781428
25,tries,5.987888548437913
26,pares,5.987545611186695
27,mares,5.981831595141215
28,laers,5.974952436631703
29,saine,5.964829588165201
30,rotes,5.962550888277262
31,roles,5.9622926213113745
32,sared,5.955391943427896
33,nates,5.955296552048223
34,earls,5.952470834366851
35,nears,5.949255100724547
36,earns,5.948673480047715
37,races,5.946501472847527
38,taser,5.946403512623143
39,rones,5.944123041190852
40,taels,5.934862407627705
41,toles,5.92799856986644
42,arets,5.924469369609633
43,aloes,5.924097569818999
44,leans,5.919181722275669
45,raits,5.917393411048334
46,hares,5.913959114553789
47,raise,5.9135741202719085
48,rites,5.912821370806561
49,riles,5.910994606869233
50,slate,5.908936311549245
51,sorel,5.908645666681035
52,seral,5.907633190243292
53,taros,5.901087322706926
54,dales,5.899985456874937
55,bares,5.898757568644023
56,tones,5.897610146456951
57,canes,5.894800026865643
58,cates,5.892708855068987
59,neats,5.892416967509504
60,aures,5.891283981029529
61,soler,5.886057857606418
62,serai,5.885159994091866
63,tiles,5.884988283644504
64,rines,5.882415599412474
65,taces,5.880169135144604
66,cores,5.878667994267799
67,dears,5.87619455115918
68,siren,5.875237307654881
69,gares,5.868042013507382
70,tarns,5.865608822314454
71,laris,5.8652948912429155
72,laser,5.864860281623326
73,strae,5.86085791443058
74,rapes,5.860629760461885
75,lotes,5.859864387225647
76,leirs,5.859088854724741
77,aeons,5.857253914992295
78,dates,5.855991396409296
79,terns,5.852152993757555
80,toras,5.850089626948246
81,laces,5.850000250419561
82,stare,5.849909299380444
83,neals,5.849302333216918
84,pales,5.848817197457607
85,tiars,5.8484150877669085
86,lairs,5.847681067345788
87,males,5.844887822941987
88,airts,5.844880899385222
89,orles,5.843197479416686
90,rails,5.841401436481762
91,tines,5.841264343088436
92,reads,5.841175876664968
93,dores,5.8408182517171365
94,claes,5.838859288936659
95,lades,5.835153283872765
96,snare,5.834874841406488
97,acres,5.833627087061449
98,siler,5.8326075801173545
99,cires,5.829838467467592
100,reast,5.829544679121689
101,slane,5.828385438495007
102,toeas,5.82837836879219
103,tames,5.823301080744351
104,reins,5.8210732993556595
105,rains,5.819878743157485
106,lites,5.818384945065103
107,antes,5.818104675741494
108,pears,5.817872145374253
109,slier,5.813109922981166
110,pates,5.8113610443308374
