,0,1
0,raise,5.82900502464596
1,slate,5.801509236183224
2,trace,5.793675031822458
3,crate,5.7833745612525025
4,irate,5.776628594884243
5,arise,5.769495246432217
6,stare,5.750954778237815
7,least,5.719836084085704
8,snare,5.712636559146142
9,alert,5.7053603456439
10,crane,5.704340661087112
11,arose,5.699099138871179
12,saner,5.695460265244923
13,stale,5.682454250486184
14,alter,5.675143696661934
15,react,5.6702147699779095
16,later,5.668684892692024
17,leant,5.6614935262667885
18,trade,5.643732499787794
19,learn,5.621849767324544
20,roast,5.617323603630824
21,cater,5.612864013908411
22,trice,5.598940751163919
23,heart,5.5845201984498525
24,parse,5.579382065182658
25,scare,5.571926322096086
26,aisle,5.568869371787494
27,saute,5.568138293827783
28,alone,5.56766887619162
29,alien,5.55711256548841
30,grate,5.553138579215765
31,store,5.551614672906636
32,share,5.548781603582651
33,trail,5.535685283893478
34,teary,5.531919965702466
35,train,5.522221444509484
36,caste,5.517158778173036
37,snore,5.517047427701697
38,siren,5.516846930182412
39,atone,5.512717841377142
40,dealt,5.512029965494446
41,rinse,5.511544173363609
42,scale,5.508396549042392
43,plate,5.501542578605792
44,renal,5.496333275229753
45,spare,5.492903776207729
46,saint,5.490661504740419
47,glare,5.488935076165079
48,trial,5.486092509730406
49,slice,5.481682375406478
50,lance,5.477367351181576
51,shale,5.477246605019337
52,solar,5.475563790101031
53,taper,5.472480611824373
54,pearl,5.471616382889182
55,crone,5.4713907405640505
56,slant,5.470325968674346
57,clear,5.470111940877331
58,stair,5.469626087184726
59,stole,5.457754428485395
60,sonar,5.45760623872102
61,tenor,5.456626757952691
62,hater,5.447501299894031
63,route,5.447058083382799
64,blare,5.439814087472392
65,plane,5.437541626048768
66,cleat,5.435136430565316
67,tread,5.433536910737961
68,canoe,5.428377893060816
69,tripe,5.425594081037877
70,paler,5.424958997710145
71,rouse,5.424283796978165
72,tried,5.423238059604417
73,large,5.415272393194047
74,sauce,5.411810248888572
75,crest,5.411466678357561
76,steal,5.41119024628623
77,loser,5.411059972022761
78,tamer,5.408298923547875
79,suite,5.40627258999012
80,shire,5.402529708975697
81,great,5.395357967906666
82,stone,5.394700273076744
83,leapt,5.39094474919974
84,noise,5.389912127099259
85,earth,5.38871102515135
86,truce,5.384337543060337
87,trope,5.381843410679587
88,close,5.380770666285778
89,shear,5.379827201727949
90,grace,5.376241810394829
91,horse,5.375805255872766
92,lapse,5.37564112854785
93,table,5.374267266485309
94,adore,5.372616792064145
95,score,5.369244014627544
96,cause,5.367401937082675
97,paste,5.366091114587474
98,aider,5.36429401546822
99,lathe,5.359339075338911
100,shore,5.358802090762651
101,yeast,5.358429356149602
102,slain,5.356593077337145
103,coast,5.356321877752728
104,drone,5.352090615742542
105,liner,5.351794644923842
106,place,5.34817953233309
107,clone,5.346767790622907
108,brace,5.345791829085024
109,risen,5.343199765399252
110,meant,5.342977929558718
111,leash,5.34264193074465
112,haste,5.341519059726219
113,beast,5.337237852822911
114,satin,5.335649141104328
115,range,5.334540958476549
116,cairn,5.332611963345245
